type	source	target	count	weight	count/weight
-1	LTS56	Axax23	4500	282.234	0.063
-1	LTS56	Bask23	3600	1073.675	0.298
-1	Axax56	SyppyrRS	24500	881.402	0.036
-1	Bask23	Bask23	3420	632.469	0.185
-1	Bask23	SyppyrRS	22500	248413.063	11.041
-1	Axax23	SyppyrRS	25000	13534.828	0.541
-1	Axax23	TuftRS5	9000	7254.883	0.806
-1	LTS23	SyppyrRS	18500	274637.066	14.845
-1	LTS23	Bask56	3600	75.723	0.021
-1	Axax56	SyppyrFRB	1850	67.988	0.037
-1	LTS56	SyppyrFRB	1800	14824.871	8.236
-1	Bask23	TuftIB5	9500	48288.98	5.083
-1	Bask23	TuftRS5	9200	46847.902	5.092
-1	Bask23	NontuftRS6	12500	12118.488	0.969
